player_id,web_name,team,gameweek,opponent,was_home,minutes,goals_scored,assists,clean_sheets,total_points,expected_goals,expected_assists,influence,creativity,threat,value,selected,transfers_in,transfers_out
5,Gabriel,Arsenal,14,BRE,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,63,2385345,2694,428405
5,Gabriel,Arsenal,15,AVL,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,63,2091264,2230,309822
5,Gabriel,Arsenal,16,WOL,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,62,1755432,5998,348765
5,Gabriel,Arsenal,17,EVE,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,62,1631350,2498,137189
5,Gabriel,Arsenal,18,BHA,1,19,0,0,0,1,0.02,0.0,0.0,0.2,4.0,62,1558977,2763,76597
5,Gabriel,Arsenal,19,AVL,1,76,1,0,1,15,0.41,0.01,47.8,1.4,35.0,63,1947230,327050,15998
5,Gabriel,Arsenal,20,BOU,0,90,1,0,0,9,0.17,0.01,55.4,1.5,19.0,65,2932696,1009482,8696
5,Gabriel,Arsenal,21,LIV,1,90,0,0,1,6,0.14,0.05,21.8,7.3,12.0,66,3718272,813598,17204
5,Gabriel,Arsenal,22,NFO,0,90,0,0,1,8,0.14,0.01,19.6,1.6,5.0,68,4451454,725140,11189
5,Gabriel,Arsenal,23,MUN,1,90,0,0,0,1,0.0,0.01,13.4,4.2,2.0,69,4696723,271425,19035
5,Gabriel,Arsenal,24,LEE,0,90,0,0,1,8,0.02,0.05,33.6,0.8,19.0,70,5009355,313255,26967
5,Gabriel,Arsenal,25,SUN,1,90,0,0,1,6,0.0,0.01,17.2,1.7,0.0,71,5298860,276387,12373
5,Gabriel,Arsenal,26,WOL,0,90,0,1,0,4,0.0,0.14,32.8,15.0,0.0,71,5593857,289752,26904
5,Gabriel,Arsenal,27,TOT,0,90,0,0,0,2,0.0,0.01,18.2,1.8,0.0,71,5557739,73999,69552
5,Gabriel,Arsenal,28,CHE,1,90,0,1,0,9,0.03,0.57,6.6,0.6,2.0,71,5510008,41154,85125
5,Gabriel,Arsenal,29,BHA,0,90,0,0,1,11,0.0,0.0,37.6,0.3,2.0,71,5604826,85952,22211
5,Gabriel,Arsenal,30,EVE,1,90,0,0,1,9,0.03,0.06,21.2,3.0,3.0,72,5699276,103697,16126
8,J.Timber,Arsenal,1,MUN,0,19,0,0,0,0,0.0,0.0,3.0,0.3,0.0,55,210465,0,0
8,J.Timber,Arsenal,2,LEE,1,63,2,1,1,24,0.81,0.05,95.0,28.5,75.0,55,219095,14581,37592
